date,title,artist,peak_pos,last_pos,weeks,rank,genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
5/5/18,Once An Addict (Interlude),J. Cole,47,0,1,47,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.47200000000000003,0.11900000000000001,82.36,0.47700000000000004,0.626,0.0,4.0,0.5479999999999999,8.0,197822.0,-8.343,0.138,1.0
5/5/18,The Long Way,Brett Eldredge,65,65,12,85,"['contemporary country', 'country', 'country road', 'modern country rock']",0.637,0.106,88.865,0.0401,0.265,0.0,4.0,0.488,10.0,208720.0,-7.63,0.23,1.0
5/5/18,Thru Your Phone,Cardi B,50,75,3,99,"['pop', 'rap']",0.5489999999999999,0.057,121.954,0.16699999999999998,0.17,0.0,4.0,0.8370000000000001,0.0,188524.0,-5.722,0.209,1.0
5/5/18,Thunder,Imagine Dragons,4,34,52,45,"['modern rock', 'vegas indie']",0.8220000000000001,0.147,167.997,0.0438,0.00671,0.134,4.0,0.605,0.0,187147.0,-4.833,0.28800000000000003,1.0
5/5/18,Wake Me Up!,Avicii,4,0,54,34,"['big room', 'edm']",0.784,0.171,124.102,0.0524,0.00346,0.00187,4.0,0.518,2.0,247427.0,-5.659,0.588,1.0
5/5/18,Window Pain (Outro),J. Cole,41,0,1,41,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.626,0.0728,75.032,0.397,0.0607,0.0,4.0,0.72,8.0,286730.0,-9.351,0.182,1.0
4/28/18,Bad At Love,Halsey,5,48,33,50,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",0.7509999999999999,0.0893,118.384,0.0296,0.0604,0.0,4.0,0.675,0.0,181279.0,-3.5389999999999997,0.612,1.0
4/28/18,Bickenhead,Cardi B,43,43,2,68,"['pop', 'rap']",0.8140000000000001,0.158,155.938,0.303,0.154,1.67e-06,4.0,0.884,7.0,181624.0,-5.332999999999999,0.907,1.0
4/28/18,Billy,6ix9ine,50,68,8,91,[''],0.711,0.105,90.07600000000001,0.28800000000000003,0.175,0.0,4.0,0.764,4.0,112667.0,-3.818,0.774,0.0
4/28/18,Broken Clocks,SZA,82,97,4,97,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap']",0.6829999999999999,0.156,112.85600000000001,0.177,0.13,0.0,4.0,0.684,6.0,231253.0,-7.3660000000000005,0.406,1.0
4/28/18,Five More Minutes,Scotty McCreery,44,89,20,98,"['contemporary country', 'country', 'country road', 'modern country rock']",0.652,0.109,156.07,0.0323,0.325,0.0,4.0,0.517,7.0,238954.0,-6.153,0.33299999999999996,1.0
4/28/18,Get Up 10,Cardi B,38,38,2,77,"['pop', 'rap']",0.57,0.105,93.015,0.24600000000000002,0.0977,0.0,4.0,0.8059999999999999,1.0,231453.0,-6.9270000000000005,0.45399999999999996,1.0
4/28/18,Gotti,6ix9ine,99,0,1,99,[''],0.584,0.0658,161.9,0.17600000000000002,0.0524,0.0,4.0,0.728,10.0,166852.0,-7.255,0.365,0.0
4/28/18,Hardaway,Derez De'Shon,61,84,11,100,"['deep trap', 'trap music']",0.518,0.146,132.52700000000002,0.188,0.11800000000000001,0.0,4.0,0.537,1.0,236032.0,-5.987,0.42700000000000005,1.0
4/28/18,I Fall Apart,Post Malone,16,46,30,46,"['pop', 'rap']",0.5379999999999999,0.196,143.95,0.0382,0.0689,0.0,4.0,0.556,8.0,223347.0,-5.4079999999999995,0.29100000000000004,0.0
4/28/18,Let Me,Zayn,73,0,1,73,"['dance pop', 'pop', 'post-teen pop']",0.5670000000000001,0.0934,168.419,0.0515,0.239,6.04e-06,4.0,0.46,9.0,185703.0,-5.6370000000000005,0.18899999999999997,1.0
